program_id,task_id,buggy_path,fixed_path,tests_path,loc,python_version,runs_successfully,passing_test_count,failing_test_count,evaluation_denominator,eligibility_status,exclusion_reason
40898300,abc221_f,data/external/ConDefects/Code/abc221_f/Python/40898300/faultyVersion.py,data/external/ConDefects/Code/abc221_f/Python/40898300/correctVersion.py,data/external/ConDefects/Test/abc221_f,116,3.14.3,True,,,116,eligible,
45225814,abc221_f,data/external/ConDefects/Code/abc221_f/Python/45225814/faultyVersion.py,data/external/ConDefects/Code/abc221_f/Python/45225814/correctVersion.py,data/external/ConDefects/Test/abc221_f,109,3.14.3,True,,,109,eligible,
26339941,abc221_g,data/external/ConDefects/Code/abc221_g/Python/26339941/faultyVersion.py,data/external/ConDefects/Code/abc221_g/Python/26339941/correctVersion.py,data/external/ConDefects/Test/abc221_g,29,3.14.3,True,,,29,eligible,
40740321,abc221_g,data/external/ConDefects/Code/abc221_g/Python/40740321/faultyVersion.py,data/external/ConDefects/Code/abc221_g/Python/40740321/correctVersion.py,data/external/ConDefects/Test/abc221_g,20,3.14.3,True,,,20,ineligible,loc < 25 (minimum length floor is 25)
26320903,abc221_h,data/external/ConDefects/Code/abc221_h/Python/26320903/faultyVersion.py,data/external/ConDefects/Code/abc221_h/Python/26320903/correctVersion.py,data/external/ConDefects/Test/abc221_h,36,3.14.3,True,,,36,eligible,
26325908,abc221_h,data/external/ConDefects/Code/abc221_h/Python/26325908/faultyVersion.py,data/external/ConDefects/Code/abc221_h/Python/26325908/correctVersion.py,data/external/ConDefects/Test/abc221_h,20,3.14.3,True,,,20,ineligible,loc < 25 (minimum length floor is 25)
26785022,abc221_h,data/external/ConDefects/Code/abc221_h/Python/26785022/faultyVersion.py,data/external/ConDefects/Code/abc221_h/Python/26785022/correctVersion.py,data/external/ConDefects/Test/abc221_h,35,3.14.3,True,,,35,eligible,
30564189,abc221_h,data/external/ConDefects/Code/abc221_h/Python/30564189/faultyVersion.py,data/external/ConDefects/Code/abc221_h/Python/30564189/correctVersion.py,data/external/ConDefects/Test/abc221_h,17,3.14.3,True,,,17,ineligible,loc < 25 (minimum length floor is 25)
40746464,abc221_h,data/external/ConDefects/Code/abc221_h/Python/40746464/faultyVersion.py,data/external/ConDefects/Code/abc221_h/Python/40746464/correctVersion.py,data/external/ConDefects/Test/abc221_h,18,3.14.3,True,,,18,ineligible,loc < 25 (minimum length floor is 25)
45118973,abc222_g,data/external/ConDefects/Code/abc222_g/Python/45118973/faultyVersion.py,data/external/ConDefects/Code/abc222_g/Python/45118973/correctVersion.py,data/external/ConDefects/Test/abc222_g,75,3.14.3,True,,,75,eligible,
45276473,abc222_g,data/external/ConDefects/Code/abc222_g/Python/45276473/faultyVersion.py,data/external/ConDefects/Code/abc222_g/Python/45276473/correctVersion.py,data/external/ConDefects/Test/abc222_g,48,3.14.3,True,,,48,ineligible,multiple independent faults
49217735,abc222_g,data/external/ConDefects/Code/abc222_g/Python/49217735/faultyVersion.py,data/external/ConDefects/Code/abc222_g/Python/49217735/correctVersion.py,data/external/ConDefects/Test/abc222_g,84,3.14.3,True,,,84,eligible,
50712644,abc222_g,data/external/ConDefects/Code/abc222_g/Python/50712644/faultyVersion.py,data/external/ConDefects/Code/abc222_g/Python/50712644/correctVersion.py,data/external/ConDefects/Test/abc222_g,59,3.14.3,True,,,59,ineligible,multi-line fault — excluded by v2 single-line filter
45714918,abc223_a,data/external/ConDefects/Code/abc223_a/Python/45714918/faultyVersion.py,data/external/ConDefects/Code/abc223_a/Python/45714918/correctVersion.py,data/external/ConDefects/Test/abc223_a,2,3.14.3,True,,,2,ineligible,loc < 25 (minimum length floor is 25)
45813374,abc223_a,data/external/ConDefects/Code/abc223_a/Python/45813374/faultyVersion.py,data/external/ConDefects/Code/abc223_a/Python/45813374/correctVersion.py,data/external/ConDefects/Test/abc223_a,6,3.14.3,True,,,6,ineligible,loc < 25 (minimum length floor is 25)
45815037,abc223_a,data/external/ConDefects/Code/abc223_a/Python/45815037/faultyVersion.py,data/external/ConDefects/Code/abc223_a/Python/45815037/correctVersion.py,data/external/ConDefects/Test/abc223_a,7,3.14.3,True,,,7,ineligible,loc < 25 (minimum length floor is 25)
52785305,abc223_b,data/external/ConDefects/Code/abc223_b/Python/52785305/faultyVersion.py,data/external/ConDefects/Code/abc223_b/Python/52785305/correctVersion.py,data/external/ConDefects/Test/abc223_b,6,3.14.3,True,,,6,ineligible,loc < 25 (minimum length floor is 25)
53267282,abc223_b,data/external/ConDefects/Code/abc223_b/Python/53267282/faultyVersion.py,data/external/ConDefects/Code/abc223_b/Python/53267282/correctVersion.py,data/external/ConDefects/Test/abc223_b,9,3.14.3,True,,,9,ineligible,loc < 25 (minimum length floor is 25)
53513467,abc223_b,data/external/ConDefects/Code/abc223_b/Python/53513467/faultyVersion.py,data/external/ConDefects/Code/abc223_b/Python/53513467/correctVersion.py,data/external/ConDefects/Test/abc223_b,7,3.14.3,True,,,7,ineligible,loc < 25 (minimum length floor is 25)
45718110,abc223_d,data/external/ConDefects/Code/abc223_d/Python/45718110/faultyVersion.py,data/external/ConDefects/Code/abc223_d/Python/45718110/correctVersion.py,data/external/ConDefects/Test/abc223_d,33,3.14.3,True,,,33,ineligible,multiple independent faults
45783590,abc223_d,data/external/ConDefects/Code/abc223_d/Python/45783590/faultyVersion.py,data/external/ConDefects/Code/abc223_d/Python/45783590/correctVersion.py,data/external/ConDefects/Test/abc223_d,30,3.14.3,True,,,30,eligible,
49036505,abc223_e,data/external/ConDefects/Code/abc223_e/Python/49036505/faultyVersion.py,data/external/ConDefects/Code/abc223_e/Python/49036505/correctVersion.py,data/external/ConDefects/Test/abc223_e,28,3.14.3,True,,,28,eligible,
52933845,abc223_e,data/external/ConDefects/Code/abc223_e/Python/52933845/faultyVersion.py,data/external/ConDefects/Code/abc223_e/Python/52933845/correctVersion.py,data/external/ConDefects/Test/abc223_e,40,3.14.3,True,,,40,ineligible,multiple independent faults
53250614,abc223_e,data/external/ConDefects/Code/abc223_e/Python/53250614/faultyVersion.py,data/external/ConDefects/Code/abc223_e/Python/53250614/correctVersion.py,data/external/ConDefects/Test/abc223_e,120,3.14.3,True,,,120,eligible,
53648866,abc223_e,data/external/ConDefects/Code/abc223_e/Python/53648866/faultyVersion.py,data/external/ConDefects/Code/abc223_e/Python/53648866/correctVersion.py,data/external/ConDefects/Test/abc223_e,32,3.14.3,True,,,32,eligible,
54247228,abc223_e,data/external/ConDefects/Code/abc223_e/Python/54247228/faultyVersion.py,data/external/ConDefects/Code/abc223_e/Python/54247228/correctVersion.py,data/external/ConDefects/Test/abc223_e,21,3.14.3,True,,,21,ineligible,loc < 25 (minimum length floor is 25)
54491597,abc223_e,data/external/ConDefects/Code/abc223_e/Python/54491597/faultyVersion.py,data/external/ConDefects/Code/abc223_e/Python/54491597/correctVersion.py,data/external/ConDefects/Test/abc223_e,19,3.14.3,True,,,19,ineligible,loc < 25 (minimum length floor is 25)
45728797,abc223_f,data/external/ConDefects/Code/abc223_f/Python/45728797/faultyVersion.py,data/external/ConDefects/Code/abc223_f/Python/45728797/correctVersion.py,data/external/ConDefects/Test/abc223_f,26,3.14.3,True,,,26,eligible,
46212630,abc223_f,data/external/ConDefects/Code/abc223_f/Python/46212630/faultyVersion.py,data/external/ConDefects/Code/abc223_f/Python/46212630/correctVersion.py,data/external/ConDefects/Test/abc223_f,97,3.14.3,True,,,97,ineligible,multiple independent faults
45319303,abc223_g,data/external/ConDefects/Code/abc223_g/Python/45319303/faultyVersion.py,data/external/ConDefects/Code/abc223_g/Python/45319303/correctVersion.py,data/external/ConDefects/Test/abc223_g,87,3.14.3,True,,,87,ineligible,multiple independent faults
26668974,abc223_h,data/external/ConDefects/Code/abc223_h/Python/26668974/faultyVersion.py,data/external/ConDefects/Code/abc223_h/Python/26668974/correctVersion.py,data/external/ConDefects/Test/abc223_h,101,3.14.3,True,,,101,eligible,
45312874,abc224_a,data/external/ConDefects/Code/abc224_a/Python/45312874/faultyVersion.py,data/external/ConDefects/Code/abc224_a/Python/45312874/correctVersion.py,data/external/ConDefects/Test/abc224_a,2,3.14.3,True,,,2,ineligible,loc < 25 (minimum length floor is 25)
45433181,abc224_a,data/external/ConDefects/Code/abc224_a/Python/45433181/faultyVersion.py,data/external/ConDefects/Code/abc224_a/Python/45433181/correctVersion.py,data/external/ConDefects/Test/abc224_a,6,3.14.3,True,,,6,ineligible,loc < 25 (minimum length floor is 25)
45476747,abc224_a,data/external/ConDefects/Code/abc224_a/Python/45476747/faultyVersion.py,data/external/ConDefects/Code/abc224_a/Python/45476747/correctVersion.py,data/external/ConDefects/Test/abc224_a,5,3.14.3,True,,,5,ineligible,loc < 25 (minimum length floor is 25)
45545043,abc224_a,data/external/ConDefects/Code/abc224_a/Python/45545043/faultyVersion.py,data/external/ConDefects/Code/abc224_a/Python/45545043/correctVersion.py,data/external/ConDefects/Test/abc224_a,5,3.14.3,True,,,5,ineligible,loc < 25 (minimum length floor is 25)
45808243,abc224_a,data/external/ConDefects/Code/abc224_a/Python/45808243/faultyVersion.py,data/external/ConDefects/Code/abc224_a/Python/45808243/correctVersion.py,data/external/ConDefects/Test/abc224_a,5,3.14.3,True,,,5,ineligible,loc < 25 (minimum length floor is 25)
45808674,abc224_a,data/external/ConDefects/Code/abc224_a/Python/45808674/faultyVersion.py,data/external/ConDefects/Code/abc224_a/Python/45808674/correctVersion.py,data/external/ConDefects/Test/abc224_a,6,3.14.3,True,,,6,ineligible,loc < 25 (minimum length floor is 25)
45979243,abc224_a,data/external/ConDefects/Code/abc224_a/Python/45979243/faultyVersion.py,data/external/ConDefects/Code/abc224_a/Python/45979243/correctVersion.py,data/external/ConDefects/Test/abc224_a,9,3.14.3,True,,,9,ineligible,loc < 25 (minimum length floor is 25)
46029165,abc224_a,data/external/ConDefects/Code/abc224_a/Python/46029165/faultyVersion.py,data/external/ConDefects/Code/abc224_a/Python/46029165/correctVersion.py,data/external/ConDefects/Test/abc224_a,5,3.14.3,True,,,5,ineligible,loc < 25 (minimum length floor is 25)
44610651,abc224_b,data/external/ConDefects/Code/abc224_b/Python/44610651/faultyVersion.py,data/external/ConDefects/Code/abc224_b/Python/44610651/correctVersion.py,data/external/ConDefects/Test/abc224_b,24,3.14.3,True,,,24,ineligible,loc < 25 (minimum length floor is 25)
